strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
G2944-SLE-2012_KM821880_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821880	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821880	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3010-SLE-2013_KM821882_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821882	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821882	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3016-SLE-2013_KM821884_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821884	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821884	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3034-SLE-2013_KM821885_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821885	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821885	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3076-SLE-2013_KM821886_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821886	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821886	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3106-SLE-2013_KM821889_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821889	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821889	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3110-SLE-2013_KM821890_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821890	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821890	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3148-SLE-2013_KM821892_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821892	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821892	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3151-SLE-2013_KM821894_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821894	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821894	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3157-SLE-2013_KM821895_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821895	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821895	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3170-SLE-2013_KM821897_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821897	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821897	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3206-SLE-2013_KM821899_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821899	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821899	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3222-SLE-2013_KM821900_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821900	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821900	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3229-SLE-2013_KM821902_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821902	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821902	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3234-SLE-2013_KM821904_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821904	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821904	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3248-SLE-2013_KM821906_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821906	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821906	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3253-SLE-2013_KM821907_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821907	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821907	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3278-SLE-2013_KM821909_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821909	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821909	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
G3283-SLE-2013_KM821910_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821910	2013-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821910	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0009-NIG-2011_KM821912_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821912	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821912	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0012-NIG-2011_KM821914_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821914	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821914	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0047-NIG-2011_KM821916_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821916	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821916	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0073-NIG-2011_KM821918_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821918	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821918	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0230-NIG-2011_KM821920_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821920	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821920	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0531-NIG-2011_KM821922_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821922	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821922	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH0595-NIG-2011_KM821924_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821924	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821924	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1003-NIG-2011_KM821927_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821927	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821927	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1038-NIG-2011_KM821929_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821929	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821929	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1048-NIG-2011_KM821931_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821931	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821931	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1058-NIG-2011_KM821933_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821933	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821933	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1064-NIG-2011_KM821935_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821935	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821935	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1069-NIG-2011_KM821937_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821937	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821937	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1096-NIG-2012_KM821939_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821939	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821939	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1107-NIG-2012_KM821941_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821941	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821941	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1111-NIG-2011_KM821943_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821943	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821943	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1121-NIG-2012_KM821945_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821945	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821945	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH1137-NIG-2011_KM821949_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821949	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821949	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2010-NIG-2012_KM821951_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821951	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821951	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2016-NIG-2012_KM821953_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821953	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821953	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2020-NIG-2012_KM821955_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821955	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821955	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2025-NIG-2012_KM821957_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821957	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821957	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2031-NIG-2012_KM821959_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821959	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821959	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2037-NIG-2012_KM821961_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821961	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821961	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2042-NIG-2012_KM821963_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821963	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821963	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2046-NIG-2012_KM821965_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821965	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821965	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2050-NIG-2012_KM821967_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821967	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821967	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2057-NIG-2012_KM821969_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821969	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821969	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2061-NIG-2012_KM821971_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821971	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821971	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2064-NIG-2012_KM821972_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821972	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821972	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2066-NIG-2012_KM821976_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821976	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821976	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2094-NIG-2012_KM821979_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821979	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821979	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2129-NIG-2012_KM821982_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821982	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821982	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2217-NIG-2012_KM821984_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821984	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821984	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2271-NIG-2012_KM821986_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821986	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821986	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2304-NIG-2012_KM821988_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821988	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821988	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2312-NIG-2012_KM821990_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821990	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821990	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2316-NIG-2012_KM821992_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821992	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821992	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2334-NIG-2012_KM821994_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821994	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821994	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2358-NIG-2012_KM821996_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821996	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821996	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
ISTH2376-NIG-2012_KM821998_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM821998	2012-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM821998	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV003-NIG-2008_KM822000_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822000	2008-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822000	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV006-NIG-2008_KM822002_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822002	2008-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822002	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV035-NIG-2009_KM822004_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822004	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822004	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV042-NIG-2009_KM822006_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822006	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822006	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV045-NIG-2009_KM822008_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822008	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822008	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV046-NIG-2009_KM822010_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822010	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822010	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV049-NIG-2009_KM822012_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822012	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822012	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV052-NIG-2008_KM822014_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822014	2008-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822014	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV056-NIG-2008_KM822016_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822016	2008-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822016	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV058-NIG-2008_KM822018_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822018	2008-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822018	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV063-NIG-2009_KM822020_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822020	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822020	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV221-NIG-2010_KM822022_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822022	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822022	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV224-NIG-2010_KM822023_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822023	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822023	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV225-NIG-2010_KM822025_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822025	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822025	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV229-NIG-2010_KM822027_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822027	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822027	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV237-NIG-2010_KM822029_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822029	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822029	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV239-NIG-2010_KM822031_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822031	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822031	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV241-NIG-2011_KM822033_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822033	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822033	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV242-NIG-2010_KM822035_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822035	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822035	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV245-NIG-2011_KM822037_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822037	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822037	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV246-NIG-2010_KM822039_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822039	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822039	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV250-NIG-2011_KM822041_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822041	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822041	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV251-NIG-2010_KM822043_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822043	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822043	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV253-NIG-2011_KM822045_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822045	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822045	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV254-NIG-2011_KM822047_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822047	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822047	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV256-NIG-2010_KM822049_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822049	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822049	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV263-NIG-2011_KM822051_2011-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822051	2011-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822051	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
